subject,chapter_no,chapter_name_en,chapter_name_bn,freq_last_5yrs,consecutive_appearances,marks_variance,trend_slope,mcq_to_cq_ratio,mcq_share,cq_share,avg_marks_odd_years,avg_marks_even_years,parity_bias
Biology,1,Lessons on Life,জীব পাঠ,4,3,13.35765625,0.3946969696969697,5.366666666666666,0.0765572990965287,0.0512820512820512,5.95,5.575,0.375
Biology,2,Living Cells and Tissues,জীবকোষ ও কলাতন্ত্র,5,10,37.443906250000005,0.7295454545454545,4.484375,0.1364717070851165,0.1094017094017094,12.25,10.925,1.325
Biology,3,Cell Division,কোষ বিভাজন,2,1,12.35140625,-0.4734848484848485,3.5217391304347827,0.0385164051355206,0.0393162393162393,4.8,2.975,1.825
Biology,4,Bioenergetics,জীবনীশক্তি,5,10,12.61015625,0.3189393939393939,2.5694444444444446,0.0879695672848312,0.123076923076923,13.05,9.575,3.475
Biology,5,"Food, Nutrition and Digestion","খাদ্য, পুষ্টি ও পরিপাক",4,3,18.67828125,0.0219696969696969,3.76056338028169,0.1269614835948644,0.1213675213675213,10.4,14.025,-3.625
Biology,6,Transport in Organisms,জীবে পরিবহন,4,3,17.39828125,0.2856060606060607,3.4565217391304346,0.0756062767475035,0.0786324786324786,7.625,7.85,-0.225
Biology,7,Gaseous Exchange,গ্যাসীয় বিনিময়,2,1,7.852499999999999,-0.1363636363636363,5.111111111111111,0.0437470280551592,0.0307692307692307,2.3,4.5,-2.2
Biology,8,Excretory System,রেচন প্রক্রিয়া,4,3,16.513125,0.2075757575757575,2.977777777777778,0.0637184973846885,0.0769230769230769,5.875,8.725,-2.85
Biology,9,Support and Movement,চলন ও অঙ্গচালনা,2,1,10.7625,-0.5166666666666667,5.882352941176471,0.0475511174512601,0.029059829059829,2.5,4.25,-1.75
Biology,10,Coordination,সমন্বয়,2,1,12.54078125,-0.3886363636363635,6.5,0.0556348074179743,0.0307692307692307,2.275,5.15,-2.875
Biology,11,Reproduction in Organism,জীবের প্রজনন,5,10,43.681875,0.7893939393939394,2.9696969696969697,0.0932001902044698,0.1128205128205128,12.475,8.925,3.55
Biology,12,Heredity in Organism and Evolution,জীবের বংশগতি ও বিবর্তন,5,10,46.48828125,0.9431818181818182,2.8448275862068964,0.0784593437945791,0.0991452991452991,12.15,6.475,5.675
Biology,13,Environment of Life,জীবের পরিবেশ,2,1,18.47828125,-0.7719696969696969,2.90625,0.0442225392296719,0.0547008547008547,5.5,4.825,0.675
Biology,14,Biotechnology,জীব প্রযুক্তি,2,1,10.697500000000002,-0.3151515151515152,2.64,0.0313837375178316,0.0427350427350427,3.65,4.25,-0.6
Chemistry,1,Concepts of Chemistry,রসায়নের ধারণা,4,3,0.78125,0.0818181818181818,80.0,0.0374707259953161,0.0016474464579901,0.975,1.275,-0.3
Chemistry,2,States of Matter,পদার্থের অবস্থা,4,3,6.929531250000001,0.3128787878787879,6.714285714285714,0.0660421545667447,0.0345963756177924,3.725,5.05,-1.325
Chemistry,3,Structure of Matter,পদার্থের গঠন,5,10,35.388906250000005,0.9204545454545452,8.15625,0.1222482435597189,0.0527182866556836,9.475,5.05,4.425
Chemistry,4,Periodic Table,পর্যায় সারণি,5,10,39.31890625,1.1295454545454544,4.480769230769231,0.1091334894613583,0.085667215815486,10.875,7.95,2.925
